,Work_id,Work_label
179,179,Paul. l. s. reg.
180,180,Paul. manual.
181,181,Paul. not. ad Iul. dig.
182,182,Paul. not. ad Pap. quaest.
183,183,Paul. quaest.
184,184,Paul. reg.
185,185,Paul. resp.
186,186,Paul. sent.
187,187,Paul. x.
188,188,Pomp. ad Plaut.
189,189,Pomp. ad Q. Muc.
190,190,Pomp. ad Sab.
191,191,Pomp. enchirid.
192,192,Pomp. epist.
193,193,Pomp. fideicomm.
194,194,Pomp. l. s. enchirid.
195,195,Pomp. l. s. reg.
196,196,Pomp. sen. consult.
197,197,Pomp. var. lect.
198,198,Pomp. x.
199,199,Proc. epist.
200,200,Proc. ex post. Labeonis.
201,201,Rutil. l. s. ad l. Falcid.
202,202,Saturn. de off. procons.
203,203,Saturn. l. s. de poen. pagan.
204,204,Scaev. dig.
205,205,Scaev. l. s. quaest. publ. tract.
206,206,Scaev. not. ad Iul. dig.
207,207,Scaev. quaest.
208,208,Scaev. reg.
209,209,Scaev. resp.
210,210,Tarrunt. de re milit.
211,211,Tert. l. s. de castr. peculio.
212,212,Tert. quaest.
213,213,Tryph. disp.
214,214,Ulp. ad Sab.
215,215,Ulp. ad ed.
216,216,Ulp. ad ed. aedil. curul.
217,217,Ulp. ad l. Aeliam Sentiam.
218,218,Ulp. ad leg. Iul. et Pap.
219,219,Ulp. de adult.
220,220,Ulp. de appellat.
221,221,Ulp. de cens.
222,222,Ulp. de off. cons.
223,223,Ulp. de off. procons.
224,224,Ulp. de omn. trib.
225,225,Ulp. disp.
226,226,Ulp. fideicomm.
227,227,Ulp. inst.
228,228,Ulp. l. s. de off. const.
229,229,Ulp. l. s. de off. curat. rei p.
230,230,Ulp. l. s. de off. praef. vig.
231,231,Ulp. l. s. de off. praet. tutel.
232,232,Ulp. l. s. de off. prutelari.
233,233,Ulp. l. s. de off. pu.
234,234,Ulp. l. s. de off. quaest.
235,235,Ulp. l. s. de sponsal.
236,236,Ulp. l. s. excus.
237,237,Ulp. l. s. pand.
238,238,Ulp. l. s. reg.
239,239,Ulp. opin.
240,240,Ulp. reg.
241,241,Ulp. resp.
242,242,Ulp. x.
243,243,Valens. actionum.
244,244,Valens. fideicomm.
245,245,Ven. actionum.
246,246,Ven. de off. procons.
247,247,Ven. de publ. iudic.
248,248,Ven. disp.
249,249,Ven. interd.
250,250,Ven. stipul.
