,BKO_id,BKO_key,Work_id,Work,Book_id,TextUnit_ref
65,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
66,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
67,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
68,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
69,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
70,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
71,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
72,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
73,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
74,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
75,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
76,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
77,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
78,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
79,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
80,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
81,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
82,225,Pomp. l. s. enchirid.,194,Pomp. l. s. enchirid.,1011,Pomp. l. s. enchirid.
