,BKO_id,BKO_label,Jurist_id,Mid_date
231,231,Proc. 7-11 epist.,27,55
232,232,Proc. ex post. Labeonis.,27,55
233,233,Rutil. l. s. ad l. Falcid.,28,-105
234,234,Scaev. 1 resp.,29,-105
235,235,Scaev. 2-4 resp.,29,-105
236,236,Scaev. 5 resp.,29,-105
237,237,Scaev. 6 resp.,29,-105
238,238,Scaev. dig.,29,-105
239,239,Scaev. l. s. quaest. publ. tract.,29,-105
240,240,Scaev. not. ad Iul. dig.,29,-105
241,241,Scaev. quaest.,29,-105
242,242,Scaev. reg.,29,-105
243,243,Tarrunt. de re milit.,30,170
244,244,Tert. l. s. de castr. peculio.,32,215
245,245,Tert. quaest.,32,215
246,246,Tryph. 1-12 disp.,33,200
247,247,Tryph. 13-21 disp.,33,200
248,248,Ulp. 1-25 ad ed.,34,208
249,249,Ulp. 1-4 fideicomm.,34,208
250,250,Ulp. 26-51 ad ed.,34,208
251,251,Ulp. 5-6 fideicomm.,34,208
252,252,Ulp. 52-53 ad ed.,34,208
253,253,Ulp. 54-55 ad ed.,34,208
254,254,Ulp. 56-81 ad ed.,34,208
255,255,Ulp. ?55 ad ed.,34,208
256,256,Ulp. ad Sab.,34,208
257,257,Ulp. ad ed. aedil. curul.,34,208
258,258,Ulp. ad l. Aeliam Sentiam.,34,208
259,259,Ulp. ad leg. Iul. et Pap.,34,208
260,260,Ulp. de adult.,34,208
261,261,Ulp. de appellat.,34,208
262,262,Ulp. de cens.,34,208
263,263,Ulp. de off. cons.,34,208
264,264,Ulp. de off. procons.,34,208
265,265,Ulp. de omn. trib.,34,208
266,266,Ulp. disp.,34,208
267,267,Ulp. inst.,34,208
268,268,Ulp. l. s. de off. const.,34,208
269,269,Ulp. l. s. de off. curat. rei p.,34,208
270,270,Ulp. l. s. de off. praef. vig.,34,208
271,271,Ulp. l. s. de off. praet. tutel.,34,208
272,272,Ulp. l. s. de off. prutelari.,34,208
273,273,Ulp. l. s. de off. pu.,34,208
274,274,Ulp. l. s. de off. quaest.,34,208
275,275,Ulp. l. s. de sponsal.,34,208
276,276,Ulp. l. s. excus.,34,208
277,277,Ulp. l. s. pand.,34,208
278,278,Ulp. l. s. reg.,34,208
279,279,Ulp. opin.,34,208
280,280,Ulp. reg.,34,208
281,281,Ulp. resp.,34,208
282,282,Ulp. x.,34,208
283,283,Valens. 1-4 fideicomm.,35,135
284,284,Valens. 5-7 fideicomm.,35,135
285,285,Valens. actionum.,35,135
286,286,Ven. actionum.,36,165
287,287,Ven. de off. procons.,36,165
288,288,Ven. de publ. iudic.,36,165
289,289,Ven. disp.,36,165
290,290,Ven. interd.,36,165
291,291,Ven. l. s. de poen. pagan.,36,165
292,292,Ven. stipul.,36,165
