,Work_id,Work_label,Jurist_id,Mid_date
149,149,Paul. l. s. de concept. form.,25,208
150,150,Paul. l. s. de concurr. actionum.,25,208
151,151,Paul. l. s. de dotis repet.,25,208
152,152,Paul. l. s. de excus.,25,208
153,153,Paul. l. s. de forma testamenti.,25,208
154,154,Paul. l. s. de grad. et adfin.,25,208
155,155,Paul. l. s. de inoff. testam.,25,208
156,156,Paul. l. s. de instrumenti sign.,25,208
157,157,Paul. l. s. de intercess.,25,208
158,158,Paul. l. s. de iure codicill.,25,208
159,159,Paul. l. s. de iure libellorum.,25,208
160,160,Paul. l. s. de iure patronatus.,25,208
161,161,Paul. l. s. de iure singulari.,25,208
162,162,Paul. l. s. de iuris et facti ignor.,25,208
163,163,Paul. l. s. de liberali causa.,25,208
164,164,Paul. l. s. de libertatibus dandis.,25,208
165,165,Paul. l. s. de off. adsess.,25,208
166,166,Paul. l. s. de off. praef. vig.,25,208
167,167,Paul. l. s. de off. pu.,25,208
168,168,Paul. l. s. de poen. milit.,25,208
169,169,Paul. l. s. de poen. omnium legum.,25,208
170,170,Paul. l. s. de poen. pagan.,25,208
171,171,Paul. l. s. de portion.,25,208
172,172,Paul. l. s. de publ. iudic.,25,208
173,173,Paul. l. s. de secundis tabulis.,25,208
174,174,Paul. l. s. de senatus consultis.,25,208
175,175,Paul. l. s. de septemvir. iud.,25,208
176,176,Paul. l. s. de tac. fideicomm.,25,208
177,177,Paul. l. s. de usur.,25,208
178,178,Paul. l. s. de var. lect.,25,208
179,179,Paul. l. s. reg.,25,208
180,180,Paul. manual.,25,208
181,181,Paul. not. ad Iul. dig.,25,208
182,182,Paul. not. ad Pap. quaest.,25,208
183,183,Paul. quaest.,25,208
184,184,Paul. reg.,25,208
185,185,Paul. resp.,25,208
186,186,Paul. sent.,25,208
187,187,Paul. x.,25,208
188,188,Pomp. ad Plaut.,26,135
189,189,Pomp. ad Q. Muc.,26,135
190,190,Pomp. ad Sab.,26,135
191,191,Pomp. enchirid.,26,135
192,192,Pomp. epist.,26,135
193,193,Pomp. fideicomm.,26,135
194,194,Pomp. l. s. enchirid.,26,135
195,195,Pomp. l. s. reg.,26,135
196,196,Pomp. sen. consult.,26,135
197,197,Pomp. var. lect.,26,135
198,198,Pomp. x.,26,135
199,199,Proc. epist.,27,55
200,200,Proc. ex post. Labeonis.,27,55
201,201,Rutil. l. s. ad l. Falcid.,28,-105
202,202,Scaev. dig.,29,-105
203,203,Scaev. l. s. quaest. publ. tract.,29,-105
204,204,Scaev. not. ad Iul. dig.,29,-105
205,205,Scaev. quaest.,29,-105
206,206,Scaev. reg.,29,-105
207,207,Scaev. resp.,29,-105
208,208,Tarrunt. de re milit.,30,170
209,209,Tert. l. s. de castr. peculio.,32,215
210,210,Tert. quaest.,32,215
211,211,Tryph. disp.,33,200
212,212,Ulp. ad Sab.,34,208
213,213,Ulp. ad ed.,34,208
214,214,Ulp. ad ed. aedil. curul.,34,208
215,215,Ulp. ad l. Aeliam Sentiam.,34,208
216,216,Ulp. ad leg. Iul. et Pap.,34,208
217,217,Ulp. de adult.,34,208
218,218,Ulp. de appellat.,34,208
219,219,Ulp. de cens.,34,208
220,220,Ulp. de off. cons.,34,208
221,221,Ulp. de off. procons.,34,208
222,222,Ulp. de omn. trib.,34,208
223,223,Ulp. disp.,34,208
224,224,Ulp. fideicomm.,34,208
225,225,Ulp. inst.,34,208
226,226,Ulp. l. s. de off. const.,34,208
227,227,Ulp. l. s. de off. curat. rei p.,34,208
228,228,Ulp. l. s. de off. praef. vig.,34,208
229,229,Ulp. l. s. de off. praet. tutel.,34,208
230,230,Ulp. l. s. de off. prutelari.,34,208
231,231,Ulp. l. s. de off. pu.,34,208
232,232,Ulp. l. s. de off. quaest.,34,208
233,233,Ulp. l. s. de sponsal.,34,208
234,234,Ulp. l. s. excus.,34,208
235,235,Ulp. l. s. pand.,34,208
236,236,Ulp. l. s. reg.,34,208
237,237,Ulp. opin.,34,208
238,238,Ulp. reg.,34,208
239,239,Ulp. resp.,34,208
240,240,Ulp. x.,34,208
241,241,Valens. actionum.,35,135
242,242,Valens. fideicomm.,35,135
243,243,Ven. actionum.,36,165
244,244,Ven. de off. procons.,36,165
245,245,Ven. de publ. iudic.,36,165
246,246,Ven. disp.,36,165
247,247,Ven. interd.,36,165
248,248,Ven. l. s. de poen. pagan.,36,165
249,249,Ven. stipul.,36,165
