,BKO_no,bis,Jurist_name,Number_of_books,Work_title
133,226,,Paulus,1,de concurrentibus actionibus
134,227,,Paulus,1,de usuris
135,228,,Paulus,1,ad SC Turpillianum
136,230,,Paulus,1,ad SC Libonianum
137,231,,Paulus,1,ad SC Claudianum
138,232,,Paulus,1,"de poenis omnium legum (ID, M; S or P, H)"
139,233,,Paulus,1,de poenis paganorum
140,234,,Paulus,1,"ad regulam Catonianam (ID, M; S or P, H)"
141,235,,Paulus,1,de forma testamenti
142,236,,Paulus,1,"de inofficioso testamento (ID, M; S or P, H)"
143,237,,Paulus,1,"de tacitis fideicommissis (ID, M; P, H)"
144,242,,Gaius,1,de tacitis fideicommissis
145,238,,Paulus,1,"de instrumenti significatione (ID, M; P, H)"
146,241,,Paulus,1,ad legem Falcidiam
147,239,,Paulus,1,ad SC Tertullianum
148,243,,Gaius,1,ad SC Tertullianum
149,240,,Paulus,1,ad SC Orfitianum
150,244,,Gaius,1,ad SC Orfitianum
151,245,,Gaius,3,de manumissionibus
152,246,,Gaius,3,de verborum obligationibus
153,247,,Gaius,6,ad legem XII tabularum
154,248,,Pomponius,2,enchiridii
155,249,,Pomponius,1,enchiridii
156,250,,Paulus,1,de iure libellorum
157,251,,Paulus,1,de articulis liberalis causae
158,252,,Paulus,1,de iuris et facti ignorantia
159,253,,Paulus,1,de iure singulari
160,254,,Paulus,1,"de gradibus et adfinibus et nominibus eorum (ID, M; S or P, H)"
161,255,,Paulus,1,de officio adsessorum
162,256,,Paulus,1,de officio praefecti vigilum
163,257,,Ulpianus,1,de officio praefecti vigilum
164,258,,Ulpianus,1,"de officio praefecti urbi (ID, M; S or P, H)"
165,259,,Paulus,1,"de officio praefecti urbi (ID, M; S or P, H) 370"
166,260,,Arcadius Charisius,1,"de muneribus civilibus (ID, M; S or P, H)"
167,261,,Arcadius Charisius,1,"de officio praefecti praetorio (ID, M; S or P, H)"
168,262,,Ulpianus,1,"de officio quaestoris (ID, M; S or P, H)"
169,95,,Ulpianus,81,ad edictum lib. 1–25
170,96,,Paulus,78,ad edictum lib. 1–27
171,97,,Paulus,23,brevia lib. 1–5
172,98,,Gaius,30,"ad edictum provinciale lib. 1–8, 19"
173,100,,Callistratus,4,edicti monitorii lib. 1–2 (see 176)
174,101,,Ulpianus,81,ad edictum lib. 56–81
175,102,,Paulus,78,ad edictum lib. 53–78
176,103,,Paulus,23,brevium lib. 16
177,104,,Gaius,30,ad edictum provinciale lib. 21 fin.–30
178,108,,Ulpianus,2,ad edictum aedilium curulium
179,109,,Paulus,2,ad edictum aedilium curulium
180,110,,Gaius,2,ad edictum aedilium curulium
181,111,,Papinianus,1,"ἀστυνομικὸς (ID, M; P or Appendix, H)"
182,112,,Ulpianus,81,ad edictum lib. 54–55 init.
183,113,,Paulus,78,ad edictum lib. 50–51
184,114,,Gaius,30,ad edictum provinciale lib. 20
185,116,,Ulpianus,81,ad edictum lib. 55 fin.
186,117,,Paulus,78,ad edictum lib. 52
187,120,,Ulpianus,81,ad edictum lib. 52 fin.–53
188,121,,Paulus,78,ad edictum lib. 48 fin.–49
